Keyword,SERP features,Volume,KD,CPC,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous position,Current position,Position change,Previous URL inside,Previous URL,Current URL inside,Current URL,Previous date,Current date
ryan gosling filipino,"Featured snippet, Thumbnail",50,0,,,7,,0,,2,New,,,,https://adobochronicles.com/2024/02/18/can-we-claim-ryan-gosling-as-one-of-our-own/,,4/13/2024 2:11
sharon gabby concert 2023 ticket price,"People also ask, Image pack",50,0,,,6,,0,,3,New,,,,https://adobochronicles.com/2023/09/16/1-kilo-rice-packs-await-general-admission-ticket-holders-for-sharon-gabby-concert/,,4/7/2024 1:41
toyota toilet car seat,"Thumbnail, People also ask",20,0,,,6,,0,,1,New,,,,https://adobochronicles.com/2016/09/24/2017-toyota-model-will-include-toilet-car-seat/,,4/14/2024 9:47
american psychiatric association selfitis,"People also ask, Image pack",50,7,0,5,6,1,0,4,3,1,,https://adobochronicles.com/2014/03/31/american-psychiatric-association-makes-it-official-selfie-a-mental-disorder/,,https://adobochronicles.com/2014/03/31/american-psychiatric-association-makes-it-official-selfie-a-mental-disorder/,1/9/2024 0:38,3/5/2024 22:11
are v necks gay,"Featured snippet, Thumbnail, People also ask, Videos",80,0,,11,6,-5,0,4,7,-3,,https://adobochronicles.com/2015/05/27/v-neck-t-shirts-a-sign-of-being-gay-according-to-the-american-psychiatric-association/,,https://adobochronicles.com/2015/05/27/v-neck-t-shirts-a-sign-of-being-gay-according-to-the-american-psychiatric-association/,12/31/2023 7:38,4/21/2024 5:03
car with toilet inside,"People also ask, Thumbnail",50,1,,,6,,0,,3,New,,,,https://adobochronicles.com/2016/09/24/2017-toyota-model-will-include-toilet-car-seat/,,4/15/2024 3:44
philippines banned from beauty pageant,"People also ask, Image pack",20,0,0,4,5,1,0,1,1,,,https://adobochronicles.com/2013/11/20/philippines-disqualified-from-beauty-pageants-for-the-next-two-years/,,https://adobochronicles.com/2013/11/20/philippines-disqualified-from-beauty-pageants-for-the-next-two-years/,1/9/2024 12:26,3/8/2024 7:46
don lemon nude,,70,2,,6,5,-2,0,5,7,-2,,https://adobochronicles.com/2015/02/03/cnn-fires-anchor-don-lemon-over-selfie/,,https://adobochronicles.com/2015/02/03/cnn-fires-anchor-don-lemon-over-selfie/,1/11/2024 12:34,4/8/2024 10:43
car with toilet,"Thumbnail, People also ask, Discussions",40,2,,1,5,3,0,11,3,8,,https://adobochronicles.com/2016/09/24/2017-toyota-model-will-include-toilet-car-seat/,,https://adobochronicles.com/2016/09/24/2017-toyota-model-will-include-toilet-car-seat/,1/17/2024 8:59,4/19/2024 11:11
alma moreno pia cayetano,People also ask,20,0,0,4,4,0,0,1,1,,,https://adobochronicles.com/tag/pia-cayetano/,,https://adobochronicles.com/tag/pia-cayetano/,1/17/2024 9:00,3/14/2024 5:05
philippines banned from beauty pageants,"People also ask, Image pack",20,1,0,4,4,0,0,1,1,,,https://adobochronicles.com/2013/11/20/philippines-disqualified-from-beauty-pageants-for-the-next-two-years/,,https://adobochronicles.com/2013/11/20/philippines-disqualified-from-beauty-pageants-for-the-next-two-years/,1/20/2024 23:46,3/15/2024 14:38
claire eden contreras husband,,70,0,,,4,,0,,6,New,,,,https://adobochronicles.com/2023/04/08/philippine-government-asks-court-to-issue-cease-and-desist-order-against-bb-maharlika/,,4/8/2024 5:59
maharlika blogger real name,"Image pack, People also ask",30,0,,4,4,-1,0,3,4,-1,,https://adobochronicles.com/2023/04/08/philippine-government-asks-court-to-issue-cease-and-desist-order-against-bb-maharlika/,,https://adobochronicles.com/2023/04/08/philippine-government-asks-court-to-issue-cease-and-desist-order-against-bb-maharlika/,1/20/2024 11:49,4/22/2024 13:39
land transportation office san isidro,"Thumbnail, Image pack",40,2,,,4,,0,,3,New,,,Image pack,https://adobochronicles.com/2023/04/14/viral-photo-lto-says-it-was-a-typo/,,4/17/2024 5:27
toilet car seat,"Thumbnail, Discussions, Shopping results",20,0,,,3,,0,,1,New,,,,https://adobochronicles.com/2016/09/24/2017-toyota-model-will-include-toilet-car-seat/,,4/6/2024 2:35
tvj new show,"People also ask, Image pack",80,3,,,3,,0,,8,New,,,,https://adobochronicles.com/2023/06/06/tvj-to-name-their-new-show-on-tv5-the-orig-eat-bulaga/,,3/21/2024 11:45
apple ipoop,Image pack,40,0,,5,3,-2,0,4,6,-2,,https://adobochronicles.com/2023/04/10/apple-is-constantly-reinventing-itself-here-comes-ipoop/,,https://adobochronicles.com/2023/04/10/apple-is-constantly-reinventing-itself-here-comes-ipoop/,1/3/2024 21:21,4/12/2024 2:01
claire eden contreras,Thumbnail,70,0,,9,3,-6,0,5,9,-4,,https://adobochronicles.com/2023/04/08/philippine-government-asks-court-to-issue-cease-and-desist-order-against-bb-maharlika/,,https://adobochronicles.com/2023/04/08/philippine-government-asks-court-to-issue-cease-and-desist-order-against-bb-maharlika/,12/31/2023 5:37,3/22/2024 11:33
miss universe 2017 tickets philippines,"People also ask, Sitelinks, Image pack",30,0,0,2,3,1,0,5,4,1,,https://adobochronicles.com/2016/08/02/philippine-president-duterte-orders-free-admission-to-2017-miss-universe-pageant-in-manila/,,https://adobochronicles.com/2016/08/02/philippine-president-duterte-orders-free-admission-to-2017-miss-universe-pageant-in-manila/,1/21/2024 0:53,3/18/2024 0:56
phil showbiz scandal,People also ask,20,0,0,,3,,0,,3,New,,,,https://adobochronicles.com/2023/12/20/showbiz-scandal-was-the-senator-robbed-of-the-win/,,3/16/2024 14:35
elizabeth oropesa,"People also ask, Thumbnail, Knowledge panel",200,0,,3,3,-1,0,8,9,-1,,https://adobochronicles.com/2023/07/27/president-marcos-responds-to-actress-elizabeth-oropesas-tearful-plea/,,https://adobochronicles.com/2023/07/27/president-marcos-responds-to-actress-elizabeth-oropesas-tearful-plea/,1/4/2024 6:43,3/26/2024 0:44
mindanao passport,"People also ask, Image pack",20,30,,,3,,0,,3,New,,,,https://adobochronicles.com/2024/02/09/introducing-the-mindanao-passport/,,4/8/2024 16:46
don lemon naked,,60,0,,2,3,0,0,7,6,1,,https://adobochronicles.com/2015/02/03/cnn-fires-anchor-don-lemon-over-selfie/,,https://adobochronicles.com/2015/02/03/cnn-fires-anchor-don-lemon-over-selfie/,1/18/2024 5:31,4/20/2024 7:15
super bowl badges 2016,"Thumbnail, Image pack",70,5,0,,2,,0,,9,New,,,,https://adobochronicles.com/2015/01/30/nfl-unveils-2016-super-bowl-logo/,,3/15/2024 11:02
leni robredo buntis,"People also ask, Image pack",20,0,0,3,2,-1,0,2,3,-1,,https://adobochronicles.com/2016/11/21/philippine-vice-president-leni-robredo-denies-pregnancy-rumors-but-heres-a-fact/,,https://adobochronicles.com/2016/11/21/philippine-vice-president-leni-robredo-denies-pregnancy-rumors-but-heres-a-fact/,1/11/2024 3:25,3/9/2024 17:14
trudeau macron affair,,40,0,,,2,,0,,6,New,,,,https://adobochronicles.com/2023/08/04/rumors-fly-about-romance-between-french-president-macron-and-canadian-prime-minister-trudeau/,,3/28/2024 10:43
mar roxas and leni robredo,"Sitelinks, People also ask",20,0,0,2,2,0,0,4,4,,,https://adobochronicles.com/2023/10/07/leni-robredo-cuts-all-ties-to-mar-roxas/,,https://adobochronicles.com/2023/10/07/leni-robredo-cuts-all-ties-to-mar-roxas/,1/20/2024 6:43,3/16/2024 6:08
jessica soho vice ganda,People also ask,20,0,,,2,,0,,4,New,,,,https://adobochronicles.com/2023/07/07/jessica-soho-changes-her-mind-she-will-have-vice-ganda-as-guest-on-her-show/,,4/11/2024 6:21
rowena burden husband,"Thumbnail, People also ask, Image pack",20,0,,,2,,0,,5,New,,,,https://adobochronicles.com/2023/09/07/philippine-medical-association-declares-rowena-burden-persona-non-grata/,,4/13/2024 2:44
san isidro land transportation office,"Thumbnail, Image pack",20,0,,,2,,0,,4,New,,,,https://adobochronicles.com/2023/04/14/viral-photo-lto-says-it-was-a-typo/,,3/29/2024 1:41
listen linda kid net worth,"People also ask, Image pack",40,0,,,2,,0,,7,New,,,,https://adobochronicles.com/2014/03/16/three-year-old-youtube-sensation-demands-50000-to-appear-on-the-ellen-show/,,4/14/2024 8:34
car seat toilet,"Shopping results, Thumbnail, Image pack, Discussions, Videos",20,3,0.28,2,2,0,0,1,1,,Image pack,https://adobochronicles.com/2016/09/24/2017-toyota-model-will-include-toilet-car-seat/,Image pack,https://adobochronicles.com/2016/09/24/2017-toyota-model-will-include-toilet-car-seat/,1/21/2024 8:15,4/9/2024 12:46
are v neck t shirts gay,"Featured snippet, Thumbnail, People also ask",20,0,0,2,1,-1,0,3,5,-2,,https://adobochronicles.com/2015/05/27/v-neck-t-shirts-a-sign-of-being-gay-according-to-the-american-psychiatric-association/,,https://adobochronicles.com/2015/05/27/v-neck-t-shirts-a-sign-of-being-gay-according-to-the-american-psychiatric-association/,1/13/2024 20:28,3/11/2024 2:09
philippines showbiz scandal,Image pack,20,0,0,,1,,0,,6,New,,,,https://adobochronicles.com/2023/12/20/showbiz-scandal-was-the-senator-robbed-of-the-win/,,3/11/2024 2:55
lgbtq priority lane,"People also ask, Image pack",20,0,,,1,,0,,6,New,,,Image pack,https://adobochronicles.com/2023/04/15/lto-mans-up-to-lgbtq-priority-lane-blunder/,,4/5/2024 11:10
heart evangelista gala gown,Thumbnail,20,0,,,1,,0,,6,New,,,,https://adobochronicles.com/2023/07/23/gma-gala-2023-heart-evangelista-stuns-in-a-cocktail-dress/,,4/4/2024 9:27
carrot man sagada,"Image pack, People also ask",20,0,0,1,1,0,0,7,6,1,,https://adobochronicles.com/2016/02/26/move-over-hot-cop-of-castro-here-comes-carrot-man-of-the-philippines/,,https://adobochronicles.com/2016/02/26/move-over-hot-cop-of-castro-here-comes-carrot-man-of-the-philippines/,1/8/2024 15:45,3/5/2024 12:07
disneyland philippines construction,"People also ask, Thumbnail, Image pack",10,0,0,0,1,1,0,9,4,5,,https://adobochronicles.com/2016/03/04/why-disneyland-is-not-coming-to-the-philippines/,,https://adobochronicles.com/2016/03/04/why-disneyland-is-not-coming-to-the-philippines/,1/7/2024 13:54,3/4/2024 20:29
cars with toilets,"Thumbnail, People also ask, Image pack, Discussions",20,1,,,1,,0,,3,New,,,Image pack,https://adobochronicles.com/2016/09/24/2017-toyota-model-will-include-toilet-car-seat/,,4/16/2024 0:40
dear heart concert ticket price,"People also ask, Image pack",20,0,,,1,,0,,7,New,,,,https://adobochronicles.com/2023/09/16/1-kilo-rice-packs-await-general-admission-ticket-holders-for-sharon-gabby-concert/,,4/22/2024 1:11
claire eden contreras biography,Knowledge panel,20,0,,,1,,0,,6,New,,,,https://adobochronicles.com/2023/04/08/philippine-government-asks-court-to-issue-cease-and-desist-order-against-bb-maharlika/,,4/21/2024 11:22
toyota toilet,"Thumbnail, Shopping results",20,4,,,1,,0,,7,New,,,,https://adobochronicles.com/2016/09/24/2017-toyota-model-will-include-toilet-car-seat/,,4/4/2024 9:42
does philippines have daylight savings time,"Featured snippet, Thumbnail, People also ask, Image pack",30,4,,1,1,0,0,9,10,-1,,https://adobochronicles.com/2016/03/12/for-first-time-ever-philippines-will-observe-daylight-saving-time/,,https://adobochronicles.com/2016/03/12/for-first-time-ever-philippines-will-observe-daylight-saving-time/,12/28/2023 10:27,4/7/2024 2:10
is sam waterston gay,,30,1,,1,1,0,0,11,8,3,,https://adobochronicles.com/2015/04/09/we-always-knew-about-barry-manilow-but-now-martin-sheen-and-sam-waterston-come-out-as-gay/,,https://adobochronicles.com/2015/04/09/we-always-knew-about-barry-manilow-but-now-martin-sheen-and-sam-waterston-come-out-as-gay/,1/10/2024 2:30,3/31/2024 13:38
macron trudeau affair,,20,0,,,1,,0,,6,New,,,,https://adobochronicles.com/2023/08/04/rumors-fly-about-romance-between-french-president-macron-and-canadian-prime-minister-trudeau/,,3/29/2024 1:37
martin sheen gay,"Featured snippet, Thumbnail, People also ask",60,0,,2,1,-1,0,7,10,-3,,https://adobochronicles.com/2015/04/09/we-always-knew-about-barry-manilow-but-now-martin-sheen-and-sam-waterston-come-out-as-gay/,,https://adobochronicles.com/2015/04/09/we-always-knew-about-barry-manilow-but-now-martin-sheen-and-sam-waterston-come-out-as-gay/,1/11/2024 9:30,4/8/2024 11:15
leah navarro husband,"Image pack, Thumbnail",20,0,,,1,,0,,8,New,,,,https://adobochronicles.com/2019/01/21/jover-laurio-chastises-maria-ressa-and-leah-navarro-for-wearing-black-to-her-wedding/,,4/1/2024 1:35
x factor philippines 2014,Image pack,20,8,0,0,1,1,0,23,7,16,,https://adobochronicles.com/2014/01/14/filipina-winner-stripped-of-x-factor-title/,,https://adobochronicles.com/2014/01/14/filipina-winner-stripped-of-x-factor-title/,1/11/2024 0:15,3/9/2024 19:44
mateo on ellen,Image pack,30,3,0,0,1,1,0,29,9,20,,https://adobochronicles.com/tag/mateo-beltran/,,https://adobochronicles.com/2014/03/16/three-year-old-youtube-sensation-demands-50000-to-appear-on-the-ellen-show/,1/10/2024 7:16,3/8/2024 8:47
leila de lima in germany,Image pack,10,1,0,0,1,1,0,10,5,5,,https://adobochronicles.com/2016/12/18/breaking-philippines-senator-de-lima-walks-out-of-berlin-conference/,,https://adobochronicles.com/2016/12/18/breaking-philippines-senator-de-lima-walks-out-of-berlin-conference/,1/8/2024 15:52,3/4/2024 22:58
is bruno mars straight,Image pack,30,0,,,1,,0,,10,New,,,,https://adobochronicles.com/2014/01/26/bruno-mars-to-officiate-same-sex-marriage-at-superbowl-half-time-show/,,4/5/2024 14:07
lala sotto father,"People also ask, Thumbnail, Knowledge panel, Image pack",30,0,,,1,,0,,8,New,,,,https://adobochronicles.com/2023/08/12/mtrcb-chair-lala-sotto-to-summon-her-parents/,,4/6/2024 18:18
car toilet seat,"Image pack, Thumbnail, Discussions, Shopping results",20,0,,1,1,0,0,1,1,,Image pack,https://adobochronicles.com/2016/09/24/2017-toyota-model-will-include-toilet-car-seat/,Image pack,https://adobochronicles.com/2016/09/24/2017-toyota-model-will-include-toilet-car-seat/,1/12/2024 12:14,4/18/2024 2:30
tocino vs longganisa,People also ask,30,0,,0,1,1,0,13,9,4,,https://adobochronicles.com/2015/10/26/longganisa-tocino-makers-dispute-world-health-organization-pronouncement-on-cancer/,,https://adobochronicles.com/2015/10/26/longganisa-tocino-makers-dispute-world-health-organization-pronouncement-on-cancer/,1/3/2024 1:51,3/24/2024 17:18
maharlika blogger husband,Image pack,10,0,,1,1,0,0,4,1,3,,https://adobochronicles.com/2023/04/08/philippine-government-asks-court-to-issue-cease-and-desist-order-against-bb-maharlika/,Image pack,https://adobochronicles.com/2023/09/20/celebrity-gossip-glenn-chong-maharlika-dating/,1/13/2024 17:25,4/10/2024 6:00
mateo beltran net worth,"People also ask, Videos, Image pack",10,3,,1,1,0,0,6,5,1,,https://adobochronicles.com/2014/03/16/three-year-old-youtube-sensation-demands-50000-to-appear-on-the-ellen-show/,,https://adobochronicles.com/2014/03/16/three-year-old-youtube-sensation-demands-50000-to-appear-on-the-ellen-show/,12/27/2023 12:31,4/20/2024 23:26
trudeau and macron relationship,"People also ask, Image pack",30,0,,,1,,0,,9,New,,,,https://adobochronicles.com/2023/08/04/rumors-fly-about-romance-between-french-president-macron-and-canadian-prime-minister-trudeau/,,4/11/2024 23:03
antonio lagdameo jr.,"Thumbnail, People also ask, Knowledge panel, Image pack",300,0,,1,1,0,0,10,10,,Image pack,https://adobochronicles.com/2022/05/27/fact-check-will-the-real-antonio-lagdameo-jr-please-step-forward/,Image pack,https://adobochronicles.com/2022/05/27/fact-check-will-the-real-antonio-lagdameo-jr-please-step-forward/,1/19/2024 19:50,4/19/2024 23:48
noontime show ratings july 1 2023,"Featured snippet, People also ask, Image pack",20,0,,,1,,0,,7,New,,,,https://adobochronicles.com/2023/07/01/the-noon-time-tv-show-ratings-are-in-its-a-three-way-tie/,,3/29/2024 16:45
daryl yap,"Thumbnail, Image pack, People also ask, Knowledge panel",20,0,,0,1,1,0,25,10,15,,https://adobochronicles.com/2023/03/09/darryl-yap-vince-tanada-to-collaborate-on-new-marcos-film/,,https://adobochronicles.com/2023/11/27/film-director-darryl-yaps-surprising-career-change/,12/31/2023 7:34,3/31/2024 21:26
sarah palin alcohol,"People also ask, Image pack",10,11,0,1,1,0,0,5,6,-1,,https://adobochronicles.com/2014/07/30/revealed-sarah-palin-arrested-for-public-intoxication/,,https://adobochronicles.com/2014/07/30/revealed-sarah-palin-arrested-for-public-intoxication/,1/12/2024 9:26,3/11/2024 8:53
mcdonalds potato wedges,"People also ask, Thumbnail, Image pack",20,0,,,1,,0,,10,New,,,,https://adobochronicles.com/2023/10/05/breaking-mcdonalds-ditching-its-french-fries-in-favor-of-potato-wedges/,,4/6/2024 15:06
vice ganda salary per day in showtime,People also ask,20,0,,,1,,0,,8,New,,,,https://adobochronicles.com/2023/09/30/vice-ganda-heeds-adobo-chronicles-call-to-pay-the-wages-of-its-showtime-workers-during-suspension/,,4/22/2024 3:55
bembol roco wife,Image pack,20,0,,0,1,1,0,34,1,33,,https://adobochronicles.com/2016/11/23/nora-aunor-bembol-roco-to-play-lead-roles-in-leila-de-lima-ronnie-dayan-love-story/,Image pack,https://adobochronicles.com/2016/11/23/nora-aunor-bembol-roco-to-play-lead-roles-in-leila-de-lima-ronnie-dayan-love-story/,1/4/2024 18:58,3/25/2024 22:44
egot tagalog,"People also ask, Image pack",20,0,,,1,,0,,8,New,,,,https://adobochronicles.com/2014/03/03/philippine-senators-come-to-the-defense-of-filipino-american-oscar-winner-robert-lopez/,,4/12/2024 10:57
chot gpt,People also ask,30,11,,,1,,0,,9,New,,,,https://adobochronicles.com/2023/08/27/chotgpt-ai-app-launched-in-honor-of-gilas-pilipinas-coach/,,4/13/2024 4:11
showtime suspended 12 days,"Featured snippet, People also ask",30,0,,,1,,0,,10,New,,,,https://adobochronicles.com/2023/10/21/its-showtime-12-day-suspension-extended-for-another-12-days/,,4/5/2024 0:52
does the philippines have daylight savings time,"Featured snippet, Thumbnail, People also ask, Image pack",30,9,,1,1,0,0,8,10,-2,,https://adobochronicles.com/2016/03/12/for-first-time-ever-philippines-will-observe-daylight-saving-time/,,https://adobochronicles.com/2016/03/12/for-first-time-ever-philippines-will-observe-daylight-saving-time/,12/27/2023 11:40,4/21/2024 19:04
v neck shirts gay,"People also ask, Thumbnail, Image pack",20,0,0,1,1,0,0,4,7,-3,Image pack,https://adobochronicles.com/2015/05/27/v-neck-t-shirts-a-sign-of-being-gay-according-to-the-american-psychiatric-association/,Image pack,https://adobochronicles.com/2015/05/27/v-neck-t-shirts-a-sign-of-being-gay-according-to-the-american-psychiatric-association/,1/12/2024 5:05,3/7/2024 12:53
giselle blondet miss universe,People also ask,30,1,,,1,,0,,10,New,,,,https://adobochronicles.com/2023/11/21/on-the-latest-miss-universe-leak/,,4/13/2024 2:18
bayang magiliw,"People also ask, Image pack, Knowledge panel",30,0,,,1,,0,,10,New,,,,https://adobochronicles.com/2024/01/24/are-you-ready-to-sing-bayang-magiliw-1000-times/,,4/7/2024 7:37
maharlika vlogger,"Tweet box, Image pack",20,0,,1,1,0,0,8,8,,Image pack,https://adobochronicles.com/2023/03/16/fl-liza-marcos-sends-thanks-to-binibining-maharlika/,,https://adobochronicles.com/2024/03/30/an-ode-to-vlogger-maharlika/,1/6/2024 4:19,4/7/2024 21:29
toni gonzaga binibining pilipinas,"People also ask, Image pack",70,0,0,1,1,0,0,8,10,-2,Image pack,https://adobochronicles.com/2015/03/16/miss-philippines-pageant-host-toni-gonzaga-i-was-duped/,Image pack,https://adobochronicles.com/2015/03/16/miss-philippines-pageant-host-toni-gonzaga-i-was-duped/,1/16/2024 4:43,3/13/2024 8:07
lala sotto parents,"Thumbnail, Image pack, People also ask, Knowledge panel",30,1,,,1,,0,,10,New,,,,https://adobochronicles.com/2023/08/12/mtrcb-chair-lala-sotto-to-summon-her-parents/,,4/5/2024 11:29
mcdonalds wedges,"Thumbnail, Image pack, People also ask",10,0,,1,1,0,0,8,9,-1,,https://adobochronicles.com/2023/10/05/breaking-mcdonalds-ditching-its-french-fries-in-favor-of-potato-wedges/,,https://adobochronicles.com/2023/10/05/breaking-mcdonalds-ditching-its-french-fries-in-favor-of-potato-wedges/,1/4/2024 17:29,4/9/2024 1:43
purple police uniform,,20,0,,2,1,-1,0,3,10,-7,,https://adobochronicles.com/2015/05/25/overwhelming-majority-of-cops-oppose-purple-uniforms/,,https://adobochronicles.com/2015/05/25/overwhelming-majority-of-cops-oppose-purple-uniforms/,1/1/2024 23:25,4/22/2024 5:11
mcdonald's wedges,"Image pack, People also ask",20,0,,,1,,0,,9,New,,,,https://adobochronicles.com/2023/10/05/breaking-mcdonalds-ditching-its-french-fries-in-favor-of-potato-wedges/,,4/21/2024 9:46
is martin sheen gay?,,10,0,,1,1,0,0,6,9,-3,,https://adobochronicles.com/2015/04/09/we-always-knew-about-barry-manilow-but-now-martin-sheen-and-sam-waterston-come-out-as-gay/,,https://adobochronicles.com/2015/04/09/we-always-knew-about-barry-manilow-but-now-martin-sheen-and-sam-waterston-come-out-as-gay/,1/10/2024 16:50,4/18/2024 2:59
alma moreno and fahad salic daughter,"Featured snippet, People also ask",20,0,,1,1,0,0,8,10,-2,,https://adobochronicles.com/2015/11/15/philippine-actress-and-senatorial-candidate-alma-moreno-is-against-marriage/,,https://adobochronicles.com/2015/11/15/philippine-actress-and-senatorial-candidate-alma-moreno-is-against-marriage/,1/5/2024 1:59,4/22/2024 14:33
maria ressa husband,"Thumbnail, People also ask, Image pack",20,7,,0,0,0,0,12,10,2,,https://adobochronicles.com/2019/03/07/maria-ressa-and-kit-tatad-wedding-of-the-century/,,https://adobochronicles.com/2019/03/07/maria-ressa-and-kit-tatad-wedding-of-the-century/,1/16/2024 5:49,4/19/2024 11:51
what happened to maharlika blogger,"Tweet box, Image pack",30,0,,,0,,0,,10,New,,,Image pack,https://adobochronicles.com/2023/03/25/maharlika-fl-liza-marcos-kiss-and-make-up/,,3/29/2024 8:40
jover laurio,Knowledge panel,20,0,,0,0,0,0,11,10,1,,https://adobochronicles.com/2023/10/12/jover-laurio-to-sue-ai-generated-headshot-apps/,,https://adobochronicles.com/2023/10/12/jover-laurio-to-sue-ai-generated-headshot-apps/,1/6/2024 0:41,4/16/2024 10:00
daylight savings philippines,"Featured snippet, Thumbnail, People also ask",10,9,,0,0,0,0,12,9,3,,https://adobochronicles.com/2016/03/12/for-first-time-ever-philippines-will-observe-daylight-saving-time/,,https://adobochronicles.com/2016/03/12/for-first-time-ever-philippines-will-observe-daylight-saving-time/,1/4/2024 10:52,3/23/2024 14:57
unli rice,"People also ask, Image pack, Thumbnail, Top stories",20,0,,0,0,0,0,50,10,40,,https://adobochronicles.com/2023/11/12/unli-rice-vs-half-cup-rice/,,https://adobochronicles.com/2023/11/12/unli-rice-vs-half-cup-rice/,1/1/2024 18:31,4/9/2024 20:16
abdl san francisco,Image pack,20,0,,0,0,0,0,8,8,,Image pack,https://adobochronicles.com/2015/01/18/san-francisco-to-field-diaper-patrols-during-this-years-folsom-street-fair-pride-parade/,Image pack,https://adobochronicles.com/2015/01/18/san-francisco-to-field-diaper-patrols-during-this-years-folsom-street-fair-pride-parade/,1/14/2024 6:47,4/18/2024 20:42
miss universe 2023 scores,"Tweet box, People also ask, Image pack",20,7,,,0,,0,,10,New,,,Image pack,https://adobochronicles.com/2023/11/21/on-the-latest-miss-universe-leak/,,4/13/2024 11:09
ipoop,"Image pack, Videos",100,0,0.14,0,0,0,0,8,8,,,https://adobochronicles.com/2023/04/10/apple-is-constantly-reinventing-itself-here-comes-ipoop/,,https://adobochronicles.com/2023/04/10/apple-is-constantly-reinventing-itself-here-comes-ipoop/,1/20/2024 1:58,4/14/2024 11:12
